StationNumber,Distance_from_station_36,latitude,longitude
,km,degrees_north,degrees_east
36.0,0.0,37.471667,-122.065
35.0,1.66,37.48,-122.08
34.0,3.53,37.495,-122.093333
33.0,6.81,37.508333,-122.121667
32.0,8.15,37.518333,-122.133333
31.0,10.61,37.528333,-122.158333
30.0,14.75,37.555,-122.19
29.5,17.5,37.5683333333,-122.218333333
29.0,20.25,37.58,-122.245
28.5,21.91,37.5966666667,-122.235
28.0,23.57,37.601667,-122.27
27.0,26.19,37.618333,-122.291667
26.0,28.76,37.635,-122.313333
25.0,32.84,37.67,-122.325
24.0,37.09,37.698333,-122.338333
23.0,39.66,37.728333,-122.336667
22.0,43.92,37.765,-122.358333
21.0,46.63,37.788333,-122.358333
20.0,51.01,37.82,-122.393333
18.0,54.88,37.846667,-122.421667
17.0,58.79,37.881667,-122.426667
16.0,62.88,37.915,-122.446667
15.0,69.6,37.975,-122.436667
14.0,74.08,38.006667,-122.405
13.0,77.98,38.028333,-122.37
12.5,80.845,38.04,-122.315
12.0,83.71,38.051667,-122.311667
11.0,88.1,38.061667,-122.263333
10.0,92.93,38.06,-122.208333
9.0,96.19,38.05,-122.173333
8.0,99.11,38.03,-122.151667
7.0,104.35,38.048333,-122.096667
6.0,110.07,38.065,-122.035
5.0,114.93,38.06,-121.98
4.0,119.08,38.048333,-121.935
3.0,124.06,38.05,-121.878333
2.0,126.58,38.063333,-121.855
649.0,131.67,38.061667,-121.8
651.0,131.67,38.0783333333,-121.763333333
653.0,140.17,38.105,-121.72
655.0,142.62,38.121667,-121.701667
657.0,145.79,38.148333,-121.688333
19.0,NaN,37.818333,-122.471667
